COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
New Zealand,MAR2011,March 2011,2011,3,March,Non-renewables,772.143,23,9920.693,2750.715,0.2214776304561393
Australia,DEC2016,December 2016,2016,12,December,Total combustible fuels,16289.23,7,207156.89535,209285.376641,0.8285328040238589
Latvia,MAR2010,March 2010,2010,3,March,Total exports,233.925,16,3100.0,,0.3602343197781231
Chile,JUN2019,June 2019,2019,6,June,Others,17.774944,24,1126.70714,519.57515,0.0025468177100103
Luxembourg,DEC2014,December 2014,2014,12,December,Combustible renewables,10.809,11,114.041,93.264,0.0305290688478658
Poland,FEB2012,February 2012,2012,2,February,Others,181.462,24,1958.729,414.681,0.0133433788716034
Slovak Republic,MAR2022,March 2022,2022,3,March,Oil,33.504418,9,448.756149,93.291106,0.0146699181117514
Korea,MAY2012,May 2012,2012,5,May,Not specified,41.75,13,501.0,186.25,0.0010479991650145
IEA Total,SEP2019,September 2019,2019,9,September,Nuclear,149062.368622,6,1891313.59427,1392994.62058,0.1738276985172719
Germany,JAN2018,January 2018,2018,1,January,Electricity trade,4997.653554,21,48736.000001,4883.383,0.0903254646617952
