COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
IEA Total,FEB2020,February 2020,2020,2,February,Distribution losses,41552.806407,19,485227.024761,94617.127167,0.0484388579585882
Belgium,JUN2017,June 2017,2017,6,June,Combustible renewables,441.826,11,5540.752,2620.682,0.0653113607585487
Iceland,APR2021,April 2021,2021,4,April,Used for pumped storage,0.0,18,0.0,0.0,0.0
Canada,JAN2010,January 2010,2010,1,January,Natural gas,4762.961,10,48129.958,,0.0789463455656197
Costa Rica,MAR2021,March 2021,2021,3,March,Total combustible fuels,43.897297,7,193.983,,0.0430588449236417
Romania,JAN2022,January 2022,2022,1,January,Net electricity production,5076.421963,14,51137.503227,4816.093777,1.0
Slovak Republic,MAR2020,March 2020,2020,3,March,Fossil fuels,487.840155,27,5581.862861,1602.58902,0.2076706430161664
Ireland,MAR2015,March 2015,2015,3,March,Total imports,177.126,15,1751.975,860.138,0.0737669074671471
Argentina,MAY2016,May 2016,2016,5,May,Nuclear,763.044,6,7820.169,2496.759,0.0645917352064251
Luxembourg,OCT2015,October 2015,2015,10,October,Fossil fuels,29.381,27,888.803,1035.437,0.1718870662017644
United States,FEB2021,February 2021,2021,2,February,Fossil fuels,206437.525637,27,2542138.106147,390989.444476,0.6180713846511487
Luxembourg,AUG2012,August 2012,2012,8,August,Other combustible non-renewables,3.703,12,59.181,44.222,0.01495050144539
Japan,AUG2010,August 2010,2010,8,August,Combustible renewables,1486.19,11,14038.552,,0.0133699095449633
Iceland,SEP2018,September 2018,2018,9,September,Nuclear,0.0,6,0.0,,0.0
Denmark,JUL2018,July 2018,2018,7,July,Other renewables aggregated,153.705952,25,5490.66283,3370.062,0.1052465485905552
OECD Total,FEB2020,February 2020,2020,2,February,Coal,158150.255644,8,1963188.429474,450748.287801,0.1808639484413232
OECD Total,JUN2022,June 2022,2022,6,June,Geothermal,4336.299834,4,54232.437452,26489.709168,0.0048030438816595
Netherlands,FEB2017,February 2017,2017,2,February,Non-renewables,8509.156,23,96156.195,16251.875,0.8435825896231827
Belgium,FEB2011,February 2011,2011,2,February,Combustible renewables,327.425,11,4541.337,722.24,0.0472674594020271
United Kingdom,APR2021,April 2021,2021,4,April,Total combustible fuels,14664.42753,7,165975.431406,51106.985319,0.6068406346612233
Czech Republic,AUG2010,August 2010,2010,8,August,Others,18.608,24,278.969,,0.0033079683318207
OECD Americas,AUG2020,August 2020,2020,8,August,Net electricity production,501062.919997,14,5170557.647376,3589069.306158,1.0
Argentina,SEP2019,September 2019,2019,9,September,Low carbon,3953.337505,26,42493.550044,30112.979324,0.3605272232902066
OECD Europe,APR2014,April 2014,2014,4,April,Nuclear,65649.354,6,831460.775,297019.257,0.2462053872901543
Romania,MAR2016,March 2016,2016,3,March,Others,40.874,24,610.547,98.811,0.0081596393900133
Czech Republic,FEB2012,February 2012,2012,2,February,Solar,105.713,3,2128.0,133.833,0.0146798655339703
Ireland,DEC2015,December 2015,2015,12,December,Other renewables aggregated,39.575,25,461.109,520.26,0.0151743526408358
United Kingdom,MAR2010,March 2010,2010,3,March,Combustible renewables,986.855,11,11842.26,,0.0292124772241665
Bulgaria,DEC2020,December 2020,2020,12,December,Nuclear,1487.928094,6,15787.268001,15712.446,0.4205300590839965
OECD Europe,JAN2020,January 2020,2020,1,January,Other combustible non-renewables,2634.255584,12,28433.939269,2455.354405,0.0080791414600777
Sweden,AUG2016,August 2016,2016,8,August,Fossil fuels,116.153,27,3535.097,2060.646,0.0111438772188479
Brazil,APR2021,April 2021,2021,4,April,Wind,4521.487693,2,71499.91231,10919.754437,0.0905408500688812
OECD Asia Oceania,DEC2012,December 2012,2012,12,December,Total imports,0.0,15,0.0,0.0,0.0
Portugal,SEP2022,September 2022,2022,9,September,Total imports,1021.319044,15,12314.179924,6841.796251,0.2694670634332353
Greece,MAY2014,May 2014,2014,5,May,Final consumption,3853.014,20,51185.0,19875.054,1.0859063508521642
OECD Americas,APR2020,April 2020,2020,4,April,Wind,33992.561407,2,399144.192463,122558.021819,0.0933900538591489
Sweden,JUN2015,June 2015,2015,6,June,Used for pumped storage,41.133,18,182.0,89.371,0.0035478075105048
Sweden,NOV2010,November 2010,2010,11,November,Nuclear,4695.118,6,55625.998,,0.3507892747100364
Canada,NOV2022,November 2022,2022,11,November,Total exports,3964.156452,16,65441.474695,55740.055115,0.074356060014022
New Zealand,JUL2016,July 2016,2016,7,July,Net electricity production,3882.259,14,42601.415,24780.819,1.0
Sweden,OCT2013,October 2013,2013,10,October,Total imports,847.067,15,12674.0,10067.585,0.0711851755613645
Switzerland,JUL2019,July 2019,2019,7,July,Combustible renewables,140.372441,11,1779.139075,982.893899,0.0181208720034982
Slovak Republic,APR2021,April 2021,2021,4,April,Distribution losses,135.790087,19,1696.572418,547.863292,0.0630182363112586
OECD Total,NOV2021,November 2021,2021,11,November,Coal,166954.601731,8,2137390.144569,1770847.973719,0.1923547552282312
Slovak Republic,MAR2019,March 2019,2019,3,March,Nuclear,1210.662779,6,14168.000001,3829.609909,0.4809835428910272
Japan,DEC2021,December 2021,2021,12,December,Other renewables,0.0,5,0.0,0.0,0.0
Slovak Republic,NOV2010,November 2010,2010,11,November,Total exports,374.059,16,6293.0,,0.1787041217289524
Latvia,NOV2022,November 2022,2022,11,November,Final consumption,556.529005,20,6707.184441,6255.04815,1.1519689523185572
Cyprus,DEC2020,December 2020,2020,12,December,Other renewables,0.0,5,0.0,0.0,0.0
Slovenia,SEP2013,September 2013,2013,9,September,Natural gas,34.779,10,450.197,321.73,0.0282118006265503
United States,FEB2022,February 2022,2022,2,February,Hydro,24006.637937,1,279561.981565,51403.643239,0.0720454020793125
Luxembourg,FEB2019,February 2019,2019,2,February,Solar,7.094197,3,130.385001,6.936339,0.0434199568223961
Germany,SEP2010,September 2010,2010,9,September,Electricity trade,445.594,21,14954.999,,0.0097489704753835
Germany,MAR2022,March 2022,2022,3,March,Final consumption,44533.046524,20,489077.960319,132122.201661,0.8788907017512242
Iceland,APR2018,April 2018,2018,4,April,Electricity supplied,1582.75422,17,19432.498001,6281.198,1.0
IEA Total,JAN2019,January 2019,2019,1,January,Other combustible non-renewables,5120.566245,12,54151.198211,5218.147099,0.0053003204808309
Slovenia,AUG2020,August 2020,2020,8,August,Renewables,504.908157,22,5780.197792,3326.857822,0.3651134074143772
Hungary,JAN2021,January 2021,2021,1,January,Oil,3.766614,9,62.399463,3.043845,0.0012478272949729
Slovak Republic,APR2011,April 2011,2011,4,April,Coal,335.184,8,3603.231,1407.059,0.1516021429750627
Cyprus,SEP2016,September 2016,2016,9,September,Other renewables aggregated,4.536,25,49.464,37.109,0.0106245432570689
Japan,SEP2017,September 2017,2017,9,September,Other renewables aggregated,2022.726,25,21945.393,15090.885,0.0252791875850702
OECD Europe,JAN2020,January 2020,2020,1,January,Natural gas,68272.974721,10,684788.864793,73475.801115,0.2093900926020669
New Zealand,SEP2012,September 2012,2012,9,September,Geothermal,456.342,4,5845.539,4350.542,0.1282043574232144
Australia,JUL2021,July 2021,2021,7,July,Hydro,1595.126556,1,16328.370592,9350.094403,0.0685117263025804
Belgium,DEC2011,December 2011,2011,12,December,Other combustible non-renewables,112.543,12,1057.069,1314.951,0.0152530730992241
Bulgaria,MAY2019,May 2019,2019,5,May,Total imports,351.996884,15,3044.947,1197.939424,0.1281140899263541
Finland,AUG2016,August 2016,2016,8,August,Fossil fuels,471.614,27,14308.476,8973.571,0.0994549960522852
Norway,AUG2010,August 2010,2010,8,August,Oil,2.014,9,30.949,,0.0002596762608062
Denmark,MAY2010,May 2010,2010,5,May,Electricity supplied,2749.84,17,35736.999,,1.0667502530284865
OECD Americas,MAR2019,March 2019,2019,3,March,Other renewables aggregated,8895.033119,25,99443.167303,26795.838579,0.0208181039463702
Romania,JUN2019,June 2019,2019,6,June,Electricity trade,422.016112,21,-1518.018998,1585.337226,0.0863196245312179
OECD Europe,MAR2010,March 2010,2010,3,March,Other combustible non-renewables,1679.728,12,19189.488,,0.0053902534437463
Luxembourg,SEP2017,September 2017,2017,9,September,Other renewables aggregated,12.98,25,164.284,99.976,0.0732927531649143
Slovenia,DEC2018,December 2018,2018,12,December,Other renewables,0.0,5,0.0,,0.0
Slovenia,NOV2014,November 2014,2014,11,November,Electricity supplied,1190.029,17,13743.03,12627.329,0.8726651276846632
Bulgaria,APR2015,April 2015,2015,4,April,Non-renewables,2600.891,23,35632.604,,0.7290961939920069
Luxembourg,SEP2017,September 2017,2017,9,September,Final consumption,521.071,20,6392.995,4744.94,2.9422748986436886
India,JAN2015,January 2015,2015,1,January,Total imports,0.0,15,0.0,,0.0
Finland,JAN2016,January 2016,2016,1,January,Fossil fuels,2204.849,27,14308.476,1975.948,0.3024235316709187
Lithuania,DEC2019,December 2019,2019,12,December,Other renewables,0.0,5,0.0,0.0,0.0
Republic of Turkiye,MAR2018,March 2018,2018,3,March,Oil,19.396218,9,309.802108,731.856,0.0008277729818656
France,MAR2012,March 2012,2012,3,March,Others,1053.007,24,9718.804,3631.489,0.0212508305023634
Switzerland,AUG2016,August 2016,2016,8,August,Net electricity production,5015.134,14,61693.255,46313.533,1.0
Slovenia,NOV2022,November 2022,2022,11,November,Solar,16.455667,3,536.525282,361.814812,0.0206035998297379
Malta,MAR2017,March 2017,2017,3,March,Natural gas,57.892,10,1243.958,,0.7254000275665042
Sweden,FEB2018,February 2018,2018,2,February,Combustible renewables,1158.702022,11,11488.382764,2536.118,0.0753341317107192
Slovak Republic,JUL2012,July 2012,2012,7,July,Fossil fuels,396.034,27,6449.068,4234.667,0.2046952860551937
Brazil,JUL2021,July 2021,2021,7,July,Low carbon,39631.12831,26,491566.29669,304044.446257,0.7307752886414869
IEA Total,JAN2015,January 2015,2015,1,January,Other renewables aggregated,27649.81249,25,314261.710256,25827.65,0.0292192250258435
New Zealand,MAR2012,March 2012,2012,3,March,Net electricity production,3464.943,14,42805.82,10110.217,1.0
Belgium,FEB2017,February 2017,2017,2,February,Distribution losses,322.122,19,3849.303,694.078,0.0459557100528276
Sweden,OCT2022,October 2022,2022,10,October,Others,118.892433,24,1660.013957,1557.501301,0.0085350673711824
Colombia,JUN2022,June 2022,2022,6,June,Distribution losses,374.442508,19,4690.239808,2826.346835,0.0539712471078396
IEA Total,NOV2010,November 2010,2010,11,November,Geothermal,2934.66,4,35313.812,,0.0035476812991823
Korea,AUG2012,August 2012,2012,8,August,Distribution losses,1502.053,19,17291.504,11651.802,0.0332604132254591
Spain,SEP2018,September 2018,2018,9,September,Others,1300.957805,24,14850.579849,11806.313,0.0611877806209046
Sweden,MAR2016,March 2016,2016,3,March,Others,154.586,24,1919.549,505.138,0.0102981346830218
Bulgaria,JAN2020,January 2020,2020,1,January,Net electricity production,3589.407894,14,37234.936,4215.888233,1.0
France,MAR2021,March 2021,2021,3,March,Hydro,6007.371345,1,63110.429485,20167.00012,0.1232336254862607
Latvia,JAN2022,January 2022,2022,1,January,Net electricity production,513.090181,14,4770.814096,594.060166,1.0
Poland,AUG2014,August 2014,2014,8,August,Low carbon,1137.507,26,19485.482,10429.043,0.1005921680790604
Argentina,DEC2021,December 2021,2021,12,December,Combustible renewables,277.952929,11,3312.153042,2128.817059,0.0201116916564708
Chile,MAY2021,May 2021,2021,5,May,Other renewables,0.0,5,0.0,0.0,0.0
Norway,MAR2021,March 2021,2021,3,March,Coal,8.166188,8,98.852462,58.261022,0.0005913034871466
United Kingdom,SEP2020,September 2020,2020,9,September,Natural gas,9694.892017,10,105433.391109,93434.746132,0.4098542990847
Germany,JUL2013,July 2013,2013,7,July,Electricity supplied,45465.393,17,568732.997,336108.505,0.9850876589354184
Slovak Republic,JUN2017,June 2017,2017,6,June,Hydro,432.678,1,4620.001,2399.807,0.2232067364711114
Republic of Turkiye,MAY2014,May 2014,2014,5,May,Solar,1.308,3,17.0,0.0,6.807440157370529e-05
Canada,DEC2012,December 2012,2012,12,December,Other combustible non-renewables,7.068,12,74.765,69.16,0.0001226131250931
Italy,MAR2013,March 2013,2013,3,March,Electricity supplied,27564.994,17,320971.395,85215.08,1.1533554261022652
Iceland,APR2018,April 2018,2018,4,April,Non-renewables,0.038192,23,1.874998,0.679,2.4130088877602236e-05
Belgium,FEB2015,February 2015,2015,2,February,Net electricity production,6154.356,14,67379.3,14440.892,1.0
Canada,APR2015,April 2015,2015,4,April,Combustible renewables,655.215,11,8547.47,4192.687,0.0126916837166907
Netherlands,JUL2016,July 2016,2016,7,July,Solar,195.022,3,1601.811,714.061,0.0235835018758861
IEA Total,DEC2019,December 2019,2019,12,December,Non-renewables,637716.670196,23,7544861.235998,7794263.046984,0.7082341513299163
Norway,MAR2022,March 2022,2022,3,March,Renewables,14490.627023,22,144002.62901,45453.371682,0.9911048517747
Slovak Republic,JAN2017,January 2017,2017,1,January,Fossil fuels,582.552,27,5066.708,468.699,0.2447891870404834
Spain,NOV2021,November 2021,2021,11,November,Natural gas,8199.422898,10,66479.769212,62092.329166,0.3506551539951651
Hungary,APR2010,April 2010,2010,4,April,Others,50.342,24,587.263,,0.0196810421702549
Korea,JUL2013,July 2013,2013,7,July,Other combustible non-renewables,38.966,12,488.688,309.594,0.0008542775405795
Italy,FEB2021,February 2021,2021,2,February,Total imports,4602.340058,15,46564.440556,8691.642209,0.2238309401052602
OECD Europe,OCT2017,October 2017,2017,10,October,Other renewables,43.293,5,519.516,412.0,0.0001497467499277
Mexico,SEP2012,September 2012,2012,9,September,Electricity supplied,24924.799,17,285465.814,213584.563,1.008168026824726
Lithuania,OCT2016,October 2016,2016,10,October,Net electricity production,337.37,14,4051.478,3846.984,1.0
Luxembourg,JUN2012,June 2012,2012,6,June,Net electricity production,328.411,14,3786.884,2170.13,1.0
OECD Asia Oceania,JAN2012,January 2012,2012,1,January,Natural gas,53366.963,10,578872.797,50329.028,0.3095748091145449
New Zealand,APR2010,April 2010,2010,4,April,Final consumption,3177.943,20,40344.719,,0.9288260398624916
Netherlands,JAN2016,January 2016,2016,1,January,Fossil fuels,8139.606,27,92654.299,8539.087,0.8249276835821512
North Macedonia,FEB2021,February 2021,2021,2,February,Low carbon,194.589041,26,1586.312667,223.815243,0.4089474876998806
Croatia,JUN2016,June 2016,2016,6,June,Total imports,1068.547,15,12397.998,5450.52,1.1550535830488615
Netherlands,MAY2022,May 2022,2022,5,May,Total combustible fuels,5100.822498,7,75415.273604,37896.548499,0.5528511293414126
OECD Total,APR2010,April 2010,2010,4,April,Other renewables,41.774,5,500.008,,5.39656253667635e-05
Austria,OCT2022,October 2022,2022,10,October,Non-renewables,983.058039,23,13819.937303,9814.855128,0.1922859546550656
Chile,JUL2019,July 2019,2019,7,July,Oil,40.83275,9,1126.70714,627.57378,0.0056478720702749
Poland,MAY2019,May 2019,2019,5,May,Hydro,315.770501,1,2637.286,1334.29907,0.0258044750692794
Australia,DEC2017,December 2017,2017,12,December,Renewables,3325.412526,22,39298.654663,43979.519863,0.1585246074616004
Norway,NOV2015,November 2015,2015,11,November,Low carbon,12797.703,26,140912.996,124306.327,0.9823743459705212
Italy,MAR2018,March 2018,2018,3,March,Natural gas,10449.642022,10,122967.533077,35362.685,0.4449136418070404
India,OCT2015,October 2015,2015,10,October,Total combustible fuels,95179.605469,7,992734.84854,,0.8554756677275123
Slovenia,JUN2017,June 2017,2017,6,June,Renewables,398.084,22,4635.61,2775.345,0.340870285979487
Cyprus,DEC2020,December 2020,2020,12,December,Renewables,38.582375,22,593.858892,511.936738,0.1021402959811271
Hungary,NOV2014,November 2014,2014,11,November,Not specified,4.083,13,48.996,26.587,0.0016482658087987
Mexico,AUG2022,August 2022,2022,8,August,Coal,1895.617272,8,19378.45197,7374.536737,0.0605275348577108
Belgium,MAR2016,March 2016,2016,3,March,Total imports,913.801,15,14648.0,5649.962,0.1192920706106982
United Kingdom,FEB2012,February 2012,2012,2,February,Natural gas,8889.875,10,95806.417,25148.223,0.2706541803521726
Mexico,APR2020,April 2020,2020,4,April,Final consumption,23212.955774,20,306026.382488,93013.965681,0.909175024948196
Netherlands,APR2010,April 2010,2010,4,April,Coal,1587.052,8,24817.376,,0.1842894608345472
Lithuania,JAN2021,January 2021,2021,1,January,Electricity trade,-875.312673,21,-9043.760519,-784.006308,-2.3049475294441986
OECD Total,SEP2020,September 2020,2020,9,September,Others,23032.206139,24,270387.527329,208605.254009,0.0272943869594565
Lithuania,DEC2012,December 2012,2012,12,December,Others,41.516,24,434.631,432.962,0.0792863540614299
Greece,MAY2016,May 2016,2016,5,May,Used for pumped storage,3.614,18,32.0,53.25,0.0010618153399116
Norway,JAN2017,January 2017,2017,1,January,Low carbon,15023.291,26,145832.002,16019.82,0.9833447933579202
Hungary,SEP2020,September 2020,2020,9,September,Natural gas,667.321436,10,8456.441333,5559.623477,0.2334095258800334
Switzerland,MAR2010,March 2010,2010,3,March,Wind,3.083,2,36.996,,0.000613501327495
Australia,OCT2013,October 2013,2013,10,October,Geothermal,0.083,4,0.996,0.83,4.4768902118189365e-06
OECD Asia Oceania,APR2018,April 2018,2018,4,April,Coal,52003.852329,8,729458.765318,242542.972563,0.3645613415963932
New Zealand,AUG2018,August 2018,2018,8,August,Other renewables,0.0,5,0.0,,0.0
Canada,NOV2018,November 2018,2018,11,November,Others,514.798947,24,6045.451039,5186.328,0.0093580053321492
Argentina,MAR2016,March 2016,2016,3,March,Solar,1.257,3,13.917,4.086,0.0001149465439131
IEA Total,OCT2011,October 2011,2011,10,October,Net electricity production,808571.689,14,10297993.152,8559985.835,1.0
Ireland,JUL2020,July 2020,2020,7,July,Nuclear,0.0,6,0.0,0.0,0.0
France,JUL2018,July 2018,2018,7,July,Solar,1427.597853,3,10891.159,6087.034,0.0341190855434635
Malta,JUN2021,June 2021,2021,6,June,Other renewables aggregated,0.0,25,0.0,0.0,0.0
Canada,OCT2014,October 2014,2014,10,October,Solar,162.456,3,2098.999,1364.243,0.0033479119950215
OECD Americas,DEC2019,December 2019,2019,12,December,Non-renewables,324522.369292,23,3968131.337695,4040802.023786,0.7364738745973431
Argentina,JAN2018,January 2018,2018,1,January,Wind,55.7481,2,1402.536471,55.788,0.0042857831382197
Netherlands,AUG2022,August 2022,2022,8,August,Wind,878.606396,2,21251.704093,11160.389478,0.086056226093259
Denmark,APR2017,April 2017,2017,4,April,Natural gas,166.23,10,1836.792,862.054,0.0597194339820572
United Kingdom,AUG2014,August 2014,2014,8,August,Not specified,0.0,13,0.0,0.0,0.0
Switzerland,FEB2012,February 2012,2012,2,February,Electricity supplied,6345.459,17,65959.016,12063.86,1.1704338260235851
Austria,JUL2011,July 2011,2011,7,July,Not specified,1.029,13,10.904,9.778,0.0001985047518642
Romania,JAN2016,January 2016,2016,1,January,Net electricity production,5767.817,14,60255.998,5635.928,1.0
IEA Total,JUL2022,July 2022,2022,7,July,Final consumption,891364.713957,20,9805567.716503,5739094.322678,0.9210415497156548
OECD Americas,SEP2019,September 2019,2019,9,September,Electricity supplied,449369.377116,17,5280367.665266,4088470.810446,0.9925533700613328
United Kingdom,SEP2015,September 2015,2015,9,September,Total combustible fuels,16610.725,7,206766.889,159104.427,0.6671928061679825
OECD Asia Oceania,DEC2019,December 2019,2019,12,December,Electricity supplied,165589.733669,17,1859329.494898,1910643.370945,1.0
Lithuania,JUL2012,July 2012,2012,7,July,Wind,29.47,2,537.0,229.671,0.0931065749607448
Ireland,AUG2014,August 2014,2014,8,August,Non-renewables,1466.174,23,18672.379,12857.11,0.7449753160942317
Portugal,FEB2019,February 2019,2019,2,February,Other renewables aggregated,237.268994,25,3459.401295,555.936782,0.063328430893418
India,NOV2018,November 2018,2018,11,November,Not specified,0.0,13,0.0,0.0,0.0
United Kingdom,MAY2018,May 2018,2018,5,May,Total imports,1918.596213,15,21332.414999,7001.394,0.0792871900179239
United States,APR2014,April 2014,2014,4,April,Others,3289.731,24,51836.763,15773.651,0.0109929670034419
Australia,MAR2022,March 2022,2022,3,March,Oil,356.990674,9,4309.936415,945.0518,0.0160582957388396
Republic of Turkiye,FEB2015,February 2015,2015,2,February,Electricity trade,-401.37,21,-3940.999,-878.892,-0.0209653297162041
New Zealand,MAY2018,May 2018,2018,5,May,Final consumption,3507.747182,20,40215.565131,16014.772,0.932443570503332
Japan,APR2016,April 2016,2016,4,April,Electricity supplied,78361.314,17,1029574.571,356128.5,1.0
Ireland,OCT2013,October 2013,2013,10,October,Other combustible non-renewables,4.857,12,62.925,41.045,0.0023144077960805
United States,JAN2018,January 2018,2018,1,January,Net electricity production,379581.094918,14,4236927.396989,346612.453,1.0
Denmark,JUL2019,July 2019,2019,7,July,Other combustible non-renewables,53.130481,12,735.660651,387.460476,0.031783427325124
Austria,FEB2020,February 2020,2020,2,February,Non-renewables,1443.67593,23,13189.888616,3964.782265,0.2389745625581747
Estonia,JUL2018,July 2018,2018,7,July,Not specified,0.0,13,0.0,,0.0
Sweden,FEB2010,February 2010,2010,2,February,Others,328.964,24,2840.565,,0.0258857739587842
Germany,AUG2010,August 2010,2010,8,August,Fossil fuels,23136.367,27,353461.038,,0.5211147570596629
Austria,JUN2012,June 2012,2012,6,June,Hydro,4785.817,1,45579.643,17490.393,0.8024919114743461
Hungary,NOV2012,November 2012,2012,11,November,Renewables,206.849,22,2495.515,2346.112,0.0746667773648654
Norway,NOV2020,November 2020,2020,11,November,Other renewables,0.0,5,0.0,0.0,0.0
Czech Republic,AUG2017,August 2017,2017,8,August,Combustible renewables,378.758,11,4446.002,2808.225,0.0633232581121858
Netherlands,APR2021,April 2021,2021,4,April,Wind,1379.357105,2,18004.379165,5683.946681,0.1415604659312046
Denmark,JUL2012,July 2012,2012,7,July,Combustible renewables,284.77,11,4117.524,2485.57,0.1949998630474677
Poland,OCT2018,October 2018,2018,10,October,Others,162.505759,24,2151.028239,1851.173,0.0122651620197504
Republic of Turkiye,JUN2020,June 2020,2020,6,June,Distribution losses,2285.504971,19,29126.358072,15244.508369,0.0973831008190359
Latvia,FEB2019,February 2019,2019,2,February,Other renewables,0.0,5,0.0,0.0,0.0
Ireland,JAN2010,January 2010,2010,1,January,Other renewables aggregated,24.329,25,302.941,,0.0092041018765336
Slovak Republic,OCT2019,October 2019,2019,10,October,Oil,50.482919,9,407.984407,341.311888,0.023377961802659
Austria,JAN2018,January 2018,2018,1,January,Hydro,3835.50537,1,39276.358001,2093.129,0.5834589777510636
OECD Americas,JUN2018,June 2018,2018,6,June,Used for pumped storage,2626.424158,18,27617.494,13346.951,0.0056081156276921
Bulgaria,JUN2016,June 2016,2016,6,June,Electricity supplied,2512.342,17,34849.005,17474.873,0.7647131696302878
New Zealand,FEB2018,February 2018,2018,2,February,Coal,64.082274,8,1479.424052,103.946,0.0204904326776398
Belgium,JUL2010,July 2010,2010,7,July,Wind,63.034,2,1286.0,,0.0085585611884715
Brazil,SEP2018,September 2018,2018,9,September,Combustible renewables,5952.144497,11,51034.996178,36505.602,0.1207594948123834
Spain,DEC2016,December 2016,2016,12,December,Other combustible non-renewables,68.488,12,700.016,729.554,0.0031164735578221
Finland,JUN2017,June 2017,2017,6,June,Distribution losses,189.124,19,2767.998,1326.834,0.0446635169225145
OECD Americas,MAY2011,May 2011,2011,5,May,Other renewables,2.372,5,26.0,11.496,5.851228523521444e-06
Austria,JUN2014,June 2014,2014,6,June,Total imports,1748.248,15,26711.724,11463.422,0.3361103362145387
Serbia,DEC2020,December 2020,2020,12,December,Combustible renewables,18.275615,11,174.019685,122.776784,0.0054566242622067
Cyprus,JAN2018,January 2018,2018,1,January,Coal,0.0,8,0.0,,0.0
Iceland,JUN2014,June 2014,2014,6,June,Other renewables aggregated,404.596,25,5237.999,2616.2,0.2863366661759877
Canada,SEP2010,September 2010,2010,9,September,Distribution losses,3514.429,19,48659.001,,0.0848179816885029
Austria,FEB2016,February 2016,2016,2,February,Combustible renewables,376.155,11,4545.765,761.62,0.0680959844631341
Norway,JUN2020,June 2020,2020,6,June,Electricity trade,1660.57848,21,20472.12,-2815.256122,0.1582466361717196
Denmark,DEC2012,December 2012,2012,12,December,Electricity trade,241.422,21,-5214.0,-1319.999,0.0708113229130308
United States,OCT2018,October 2018,2018,10,October,Low carbon,114439.476122,26,1562522.120114,1283739.075,0.3467334389633635
OECD Europe,OCT2011,October 2011,2011,10,October,Low carbon,141900.686,26,1760836.796,1441134.302,0.4990927950763731
Brazil,JAN2021,January 2021,2021,1,January,Fossil fuels,12739.0504,27,145385.744279,10402.977806,0.2367358760016273
Chile,OCT2013,October 2013,2013,10,October,Distribution losses,414.719,19,4889.999,2910.714,0.0712453553918684
Australia,OCT2012,October 2012,2012,10,October,Low carbon,2675.657,26,29876.966,20998.385,0.1411118390869885
Malta,SEP2015,September 2015,2015,9,September,Combustible renewables,0.389,11,6.628,,0.0051951173909559
Croatia,NOV2018,November 2018,2018,11,November,Hydro,564.045116,1,7697.1,4609.877,0.5225469089989051
Denmark,DEC2018,December 2018,2018,12,December,Geothermal,0.0,4,0.0,,0.0
Colombia,APR2021,April 2021,2021,4,April,Not specified,0.0,13,0.0,0.0,0.0
Malta,DEC2017,December 2017,2017,12,December,Total combustible fuels,136.294,7,1440.197,678.598,0.9431196977455472
Belgium,JUL2017,July 2017,2017,7,July,Distribution losses,292.715,19,3849.303,2256.718,0.0403387009398973
Japan,AUG2019,August 2019,2019,8,August,Coal,30045.488046,8,317861.193384,228531.308124,0.3191136310591284
Chile,MAR2011,March 2011,2011,3,March,Hydro,1277.178,1,20937.001,5600.046,0.235173996216749
Ireland,APR2016,April 2016,2016,4,April,Total imports,113.91,15,871.263,731.894,0.0462909719397303
OECD Europe,APR2012,April 2012,2012,4,April,Others,7054.682,24,89966.778,32591.432,0.0255749649025334
Malta,JUN2016,June 2016,2016,6,June,Renewables,16.159,22,135.617,52.743,0.2456559084206205
Lithuania,MAR2013,March 2013,2013,3,March,Electricity supplied,1021.034,17,11396.778,2909.482,2.248626863699429
Switzerland,DEC2013,December 2013,2013,12,December,Solar,26.704,3,499.998,300.001,0.0046851810621416
Cyprus,APR2021,April 2021,2021,4,April,Used for pumped storage,0.0,18,0.0,0.0,0.0
Korea,JUN2021,June 2021,2021,6,June,Others,995.003612,24,12358.890579,5300.703261,0.022914291278766
Hungary,OCT2016,October 2016,2016,10,October,Low carbon,1532.623,26,18260.357,15039.271,0.6011340027055724
Austria,AUG2020,August 2020,2020,8,August,Distribution losses,243.39574,19,3191.822,2192.104348,0.0420591267678802
Japan,OCT2014,October 2014,2014,10,October,Net electricity production,79409.31,14,1049575.632,878598.89,1.0
Slovak Republic,JAN2018,January 2018,2018,1,January,Nuclear,1318.79945,6,13784.0,1311.328,0.5161467031455106
Portugal,FEB2013,February 2013,2013,2,February,Others,185.187,24,1912.679,595.818,0.0411114547172822
Australia,FEB2011,February 2011,2011,2,February,Coal,12999.254,8,163949.76,28279.55,0.6410750281324797
Korea,SEP2012,September 2012,2012,9,September,Others,716.702,24,21454.642,8956.832,0.0179907417345988
Bulgaria,DEC2016,December 2016,2016,12,December,Other renewables aggregated,35.245,25,302.194,233.399,0.0084889786586907
Republic of Turkiye,SEP2012,September 2012,2012,9,September,Electricity trade,-363.845,21,-2872.996,-944.634,-0.0194964368479307
Australia,JUL2014,July 2014,2014,7,July,Solar,234.542,3,4534.416,1863.769,0.0111061790722806
Netherlands,APR2022,April 2022,2022,4,April,Non-renewables,4920.416114,23,70625.292796,29654.286813,0.5337334697474844
Germany,SEP2011,September 2011,2011,9,September,Coal,19937.342,8,252745.396,184693.771,0.4475295879166525
Greece,DEC2016,December 2016,2016,12,December,Hydro,528.191,1,5565.094,5833.999,0.0976574748992716
United States,FEB2022,February 2022,2022,2,February,Wind,38227.136339,2,436956.417066,56930.329044,0.1147219954377385
